Run,Training MSE,Test MSE
1,5.560415867529352,6.4176857545824255
2,7.260245272986745,4.952049261447102
3,4.861261203791326,3.657791455876007
4,4.481487363214979,6.574757245850296
5,5.2402941760676685,4.760167515349526
6,4.82337494077331,3.355219861259066
7,4.701682103410832,4.260924233484284
8,4.559997962006733,4.912409834734529
9,5.356426791312646,2.9653814564578984
10,6.2152387275529115,6.012931943019165
